id	year	place	place_abbrv	latitude	longitude	title	author	subjects	publisher
ocm00001302 	1969	new york	nyu	40.758896	-73.985130	[the renaissance in italy architecture sculpture frescoes]	[author:decker heinrich]	[subject:art italian] [subject:art renaissance]	[publisher:viking press]
ocm00001459 	1969	new york	nyu	40.758896	-73.985130	[john lyly and the italian renaissance]	[author:jeffery violet may]	[subject:english literature] [subject:comparative literature] [subject:renaissance] [subject:learning and scholarship]	[publisher:russell & russell]
ocm00002076 	1969	new york	nyu	40.758896	-73.985130	[pageant of the renaissance]	[author:kelder diane]	[subject:art italian] [subject:art renaissance]	[publisher:f a praeger]
ocm00005504 	1969	madison	wiu	43.78419	-111.65934	[critics of the italian world 1530 1560 anton francesco doni nicolò franco & ortensio lando]	[author:grendler paul f]	[subject:intellectual life] [subject:renaissance] [subject:renaissance italie] [subject:kultur]	[publisher:university of wisconsin press]
ocm00010536 	1969	new york	nyu	40.758896	-73.985130	[the italian city republics]	[author:waley daniel philip]	[subject:renaissance] [subject:cities and towns medieval] [subject:city states] [subject:stadt]	[publisher:mcgraw hill]
ocm00012636 	1969	chicago	ilu	42.58613	-87.8248	[the birth of modern comedy in renaissance italy]	[author:radcliff umstead douglas]	[subject:comédie italienne] [subject:italian drama comedy] [subject:renaissance] [subject:komödie] [subject:italiaans] [subject:komedies]	[publisher:university of chicago press]
ocm00013431 	1969	new york	nyu	40.758896	-73.985130	[pagan mysteries in the renaissance]	[author:wind edgar]	[subject:art italian] [subject:art renaissance] [subject:mysteries religious]	[dewey:704.9]	[publisher:w w norton]
ocm00019399 	1969	new york	nyu	40.758896	-73.985130	[social and economic foundations of the italian renaissance]	[author:molho anthony]	[subject:social history] [subject:aufsatzsammlung] [subject:economic history] [subject:wirtschaft]	[publisher:wiley]
ocm00021407 	1968	london	enk	51.51334	-0.08901	[italian pictures of the renaissance a list of the principal artists and their works with an index of places central italian and north italian schools]	[author:berenson bernard]	[subject:peinture de la renaissance] [subject:painting renaissance] [subject:painting italian]	[publisher:phaidon]
ocm00023065 	1969	new haven	ctu	44.74415	-104.84469	[alfonso ii and the artistic renewal of naples 1485 1495]	[author:hersey george l]	[subject:city planning] [subject:art] [subject:art de la renaissance] [subject:urbanisme] [subject:objets d art] [subject:art italien] [subject:art objects]	[publisher:yale university press]
ocm00023802 	1969	oxford	enk	51.75315	-1.23854	[the renaissance discovery of classical antiquity]	[author:weiss roberto]	[subject:historiography] [subject:renaissance] [subject:receptie] [subject:humanists] [subject:klassieke oudheid] [subject:art de la renaissance] [subject:antike] [subject:geestesgeschiedenis] [subject:intellectual life] [subject:renaissance italie] [subject:humanismus] [subject:rezeption] [subject:antiquités gréco romaines] [subject:antiquities]	[publisher:b blackwell]
ocm00037692 	1969	london	enk	51.51334	-0.08901	[the renaissance in italy architecture sculpture frescoes]	[author:decker heinrich]	[subject:art italian] [subject:art renaissance]	[publisher:thames & hudson]
ocm00043610 	1968	new york	nyu	40.758896	-73.985130	[pagan mysteries in the renaissance]	[author:wind edgar]	[subject:art italian] [subject:art renaissance] [subject:mysteries religious]	[dewey:704.9]	[publisher:barnes & noble]
ocm00049480 	1969	new york	nyu	40.758896	-73.985130	[petrarch the first modern scholar and man of letters a selection from his correspondence with boccaccio and other friends designed to illustrate the beginnings of the renaissance]	[author:rolfe henry winchester] [author:robinson james harvey] [author:petrarca francesco]	[subject:authors italian] [subject:renaissance]	[dewey:001.2]	[publisher:greenwood press]
ocm00051446 	1969	new york	nyu	40.758896	-73.985130	[history of italian renaissance art painting sculpture architecture]	[author:hartt frederick]	[subject:renaissance] [subject:art italian] [subject:art de la renaissance] [subject:schilderkunst] [subject:art renaissance] [subject:bouwkunst] [subject:art italien] [subject:kunst] [subject:geschichte] [subject:plastische kunst]	[publisher:h n abrams]
ocm00060764 	1969	london	enk	51.51334	-0.08901	[the architecture of the italian renaissance]	[author:murray peter]	[subject:renaissance] [subject:architecture renaissance] [subject:architecture] [subject:bouwkunst] [subject:architecture de la renaissance]	[dewey:720.9]	[publisher:thames & hudson]
ocm00061343 	1969	edinburgh	stk	55.94973	-3.19333	[italian 16th century drawings from british private collections edinburgh festival 1969 an exhibition sponsored by the edinburgh festival society and arranged by the scottish arts council august 23rd september 13th 1969]	[subject:drawing renaissance] [subject:drawing] [subject:kunstcollecties] [subject:tekenkunst] [subject:drawing italian]	[dewey:741.9]
ocm00064647 	1969	new york	nyu	40.758896	-73.985130	[music of the italian renaissance]	[author:de robeck nesta]	[subject:arts renaissance] [subject:musique] [subject:renaissance] [subject:music]	[dewey:780.94]	[publisher:da capo press]
ocm00068925 	1970	london	enk	51.51334	-0.08901	[in our image and likeness humanity and divinity in italian humanist thought]	[author:trinkaus charles edward]	[subject:philosophie de la renaissance] [subject:renaissance] [subject:humanisme levensbeschouwing] [subject:humanisme] [subject:mensbeeld] [subject:homme] [subject:humanism] [subject:philosophical anthropology] [subject:philosophy renaissance]	[publisher:constable]
ocm00074053 	1963	uppsala	sw	59.86845	17.63446	[levels of unreality studies in structure and construction in italian mural painting during the renaissance]	[author:sandström sven]	[subject:wandmalerei] [subject:renaissance] [subject:mural painting and decoration italian] [subject:peinture et décoration murales] [subject:mural painting and decoration renaissance] [subject:freskomalerei]	[publisher:almqvist & wiksell]
ocm00074167 	1969	florence	it	43.78645	11.24892	[the first decennale a facsim of the 1st ed of february 1506]	[author:machiavelli niccolò]	[publisher:villa i tatti the harvard university center for italian renaissance studies distributed by the harvard university press cambridge mass]
ocm00075289 	1970	charlottesville	vau	38.02931	-78.47668	[the three ages of the italian renaissance]	[author:lopez robert s]	[subject:kultur] [subject:renaissance]	[publisher:university press of virginia]
ocm00081619 	1970	new york	nyu	40.758896	-73.985130	[the drawings of the venetian painters in the 15th and 16th centuries]	[author:tietze hans] [author:tietze conrat e]	[subject:dessin italien] [subject:drawing renaissance] [subject:dessin] [subject:drawing italian]	[dewey:741.9]	[publisher:collectors editions]
ocm00084371 	1968	new york	nyu	40.758896	-73.985130	[dolce s aretino and venetian art theory of the cinquecento]	[author:roskill mark w]	[subject:painting] [subject:painting renaissance] [subject:painting italian] [subject:peinture] [subject:peinture ouvrages avant 1800]	[dewey:759]	[publisher:published for the college art association of america by new york university press]
ocm00091734 	1970	new haven	ctu	44.74415	-104.84469	[early italian paintings in the yale university art gallery a catalogue]	[author:seymour charles]	[subject:peinture de la renaissance] [subject:painting renaissance] [subject:painting italian] [subject:peinture gothique] [subject:peinture italienne] [subject:painting gothic]	[publisher:published for the yale university art gallery by yale university press]
ocm00095803 	1970	chapel hill	ncu	41.1126	-81.48053	[italian renaissance drama in england before 1625 the influence of erudita tragedy comedy and pastoral on elizabethan and jacobean drama]	[author:orr david]	[subject:renaissance] [subject:théâtre italien] [subject:english drama] [subject:théâtre anglais] [subject:pastoral drama english] [subject:literatura comparada]	[publisher:university of north carolina press]
ocm00097305 	1969	london	enk	51.51334	-0.08901	[the french renaissance medieval tradition and italian influence in shaping the renaissance in france]	[author:simone franco] [author:hall h gaston]	[subject:civilization] [subject:renaissance] [subject:international relations]	[publisher:macmillan]
ocm00098154 	1970	new york	nyu	40.758896	-73.985130	[the late italian renaissance 1525 1630]	[author:cochrane eric w]	[subject:renaissance]	[publisher:harper & row]
ocm00105559 	1970	london	enk	51.51334	-0.08901	[the late italian renaissance 1525 1630]	[author:cochrane eric w]	[subject:aufsatzsammlung] [subject:renaissance]	[publisher:macmillan]
ocm00129295 	1970	new york	nyu	40.758896	-73.985130	[petrarch the first modern scholar and man of letters]	[author:rolfe henry winchester] [author:robinson james harvey] [author:petrarca francesco]	[subject:authors italian] [subject:renaissance] [subject:authors latin medieval and modern]	[publisher:haskell house]
ocm00159942 	1971	harmondsworth	enk	51.48836	-0.47757	[painting in italy 1500 to 1600]	[author:freedberg s j]	[subject:maniérisme art] [subject:mannerism art] [subject:peinture de la renaissance] [subject:painting renaissance] [subject:painting italian] [subject:schilderkunst] [subject:peinture italienne] [subject:malerei]	[publisher:penguin books]
ocm00161261 	1970	london	enk	51.51334	-0.08901	[patrons and artists in the italian renaissance]	[author:chambers david]	[subject:artists] [subject:artistes] [subject:art de la renaissance] [subject:mécénat] [subject:art renaissance] [subject:art patronage]	[publisher:macmillan]
ocm00161861 	1971	new york	nyu	40.758896	-73.985130	[italian paintings florentine school a catalogue of the collection of the metropolitan museum of art]	[author:zeri federico]	[subject:mannerism art] [subject:peinture de la renaissance] [subject:painting renaissance] [subject:painting italian] [subject:painting gothic] [subject:painting] [subject:peinture]	[publisher:distributed by new york graphic society greenwich conn]
ocm00161924 	1970	london	enk	51.51334	-0.08901	[an introduction to italian sculpture]	[author:pope hennessy john wyndham]	[subject:sculpture italian] [subject:sculpture renaissance] [subject:sculpture baroque] [subject:sculpture gothic]	[dewey:730.9]	[publisher:phaidon]
ocm00163313 	1970	london	enk	51.51334	-0.08901	[the great age of fresco discoveries recoveries and survivals]	[author:meiss millard]	[subject:bildband] [subject:mural painting and decoration medieval] [subject:muurschilderingen] [subject:mural painting and decoration italian] [subject:mural painting and decoration renaissance] [subject:freskomalerei]	[dewey:751.7]	[publisher:phaidon]
